YEARMODA,TEMP,MAX,MIN,WDSP,MXSPD,PRCP
12/11/1990,83.5,88.2,77.5,5,9.7,0
12/12/1990,84.4,87.8,77.4,2.6,5.8,0
12/13/1990,81.6,86.4,79.2,2.5,3.9,0.01
12/14/1990,83.2,89.2,76.6,2.4,3.9,0
12/15/1990,79.1,85.6,75.6,2.5,5.8,0.81
12/16/1990,78.8,83.3,74.1,1.9,1.9,0.24
12/17/1990,80.2,82.8,75.6,2.5,3.9,0.04
12/18/1990,81.8,86.5,72.9,1.9,1.9,0
12/19/1990,81,85.5,73,2.9,7.8,0
12/20/1990,83,85.5,73,5.5,15.5,0
12/21/1990,80.8,86.5,73.8,2.9,5.8,0
12/22/1990,77.7,81.7,74.5,4.2,13.6,0.08
12/23/1990,78,81,73.4,1.9,1.9,1.02
12/24/1990,79.65,82.6,73.2,2.1,2.9,0.51
12/25/1990,81.3,84.2,73,2.3,3.9,0
12/26/1990,82.7,85.8,72.3,3.9,7.8,0
12/27/1990,82.15,85,70.6,3.7,7.8,0
12/28/1990,81.6,84.2,68.9,3.5,7.8,0
12/29/1990,79.7,84.9,73.9,3.4,13.6,0.04
12/30/1990,82.6,87.8,73.2,4.2,7.8,0
12/31/1990,81.8,86,77,6.8,19.4,0
01/01/1991,80.8,85.1,73.9,2.2,3.9,0
01/02/1991,80.4,85.1,72.5,4.1,7.8,0
01/03/1991,79.6,82.4,75.6,3.2,5.8,0.2
01/04/1991,79.6,86.5,72.7,4.7,15.5,0.04
01/05/1991,80.4,84.6,69.4,2.7,5.8,0
01/06/1991,79.7,82.4,72,2.2,3.9,0
01/07/1991,79.1,83.8,73,1.9,1.9,0.01
01/08/1991,80.4,86.5,70.5,3.9,5.8,0
01/09/1991,79.6,84.2,66.4,2.3,5.8,0
01/10/1991,81.1,84.2,77,3.2,7.8,0
01/11/1991,81.4,86.4,72.5,3.9,9.7,0
01/12/1991,81.3,85.5,74.3,6.1,19.4,0
01/13/1991,79.9,84.2,73.4,2.5,3.9,0
01/14/1991,79.9,82.8,73.6,2.8,3.9,0
01/15/1991,77.4,79.2,73.4,2.2,3.9,0.01
01/16/1991,78.9,83.7,68.9,2.5,5.8,0.04
01/17/1991,83.4,86.4,78.4,4.9,9.7,0
01/18/1991,80.8,85.3,70.7,5.2,11.7,0
01/19/1991,79.6,84.9,69.4,4.9,11.7,0
01/20/1991,80.5,86,69.8,2.2,3.9,0
01/21/1991,80.5,85.6,66.2,3.9,5.8,0
01/22/1991,81,88.2,73.4,3.4,7.8,0
01/23/1991,81.4,87.4,76.6,3.3,7.8,0
01/24/1991,80.7,87.4,73.4,5.8,15.5,0
01/25/1991,83.4,86.9,79.2,3.9,5.8,0
01/26/1991,78.8,84.2,70.7,3.1,5.8,0
01/27/1991,78.8,82,69.8,2.2,3.9,0
01/28/1991,80.4,85.6,72,3.5,7.8,0
01/29/1991,78.5,103.6,72.1,2.2,3.9,0
01/30/1991,81,85.6,72.5,2.8,5.8,0
01/31/1991,80,84.6,75.2,1.9,1.9,0
02/01/1991,79.3,82.9,74.8,2.2,3.9,0.63
02/02/1991,81,84.2,75.2,3.1,3.9,0.2
02/03/1991,80.9,84,75.2,1.9,1.9,0
02/04/1991,81.8,86.4,75.2,2.7,3.9,0
02/05/1991,80.8,84.7,74.3,2.7,3.9,0
02/06/1991,81.9,87.1,74.3,3.1,5.8,0
02/07/1991,83.4,88.9,76.6,3.9,5.8,0
02/08/1991,81.6,88.5,73,4.2,5.8,0
02/09/1991,83.4,92.3,78.8,4.4,9.7,0
02/10/1991,84.1,90.5,76.3,3.2,5.8,0
02/11/1991,81.7,86.9,76.8,3.6,5.8,0
02/12/1991,82,86.2,74.8,4.5,9.7,0
02/13/1991,80.6,86.4,71.6,4.3,7.8,0
02/14/1991,83.2,88.9,74.5,4.4,5.8,0
02/15/1991,83.5,89.6,76.6,4.1,5.8,0
02/16/1991,83,87.4,75,3.3,5.8,0
02/17/1991,81.9,87.4,72.3,3.4,5.8,0
02/18/1991,79.2,81.1,72.3,3.9,9.7,0
02/19/1991,82,86.9,73.4,4.2,9.7,0
